ID,Original_FR,Conflicting_FR,Label
1,"""if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.""",Users can request exchanges only if the items are unavailable.,Operation Conflict
2,"""if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching a??Remove the itema?? button.""",Items shall remain in the system even if the user clicks "Remove the item".,Operation Conflict
3,"""if the user no longer wishes to use the system, he/she can click a??Delete Profilea?? button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""",The system shall retain user account and allow login even after clicking "Delete Profile".,Operation Conflict
4,10000 users should be able to use the system at the same time.,The system shall restrict the number of concurrent users to a maximum of 5000 to maintain response time and data consistency.,Restriction Conflict
5,10000 users should be able to use the system at the same time.,The system shall allow administrative concurrent access only once per system startup and revoke all administrative sessions automatically within 5 seconds after they begin.,Agent Conflict，Restriction Conflict
6,"A CEP card may contain currencies that the load acquirer does not support. As a result, load devices must use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts for the currency conversion transaction.","Load devices shall reject any CEP card containing currencies not supported by the load acquirer, and no source amount shall be displayed.",Operation Conflict
7,A class shall be either a non-clinical class or a clinical class.,A class may contain both clinical and non-clinical components within the same structure.,Restriction Conflict
8,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND shall not be allowed to access NGN services through the CNG interface for security reasons.,Operation Conflict
9,A cohort shall be associated to one Program of Study offered by the department.,A cohort may be associated with multiple Programs of Study across departments.,Restriction Conflict
10,A cohort shall be associated to one Program of Study offered by the department.,A cohort's Program of Study may be changed only once per calendar year and any change must be applied within a 10-second transaction window; changes attempted outside this window shall be rejected even if performed by DEPARTMENT_ADMIN.,Agent Conflict，Restriction Conflict
11,A CPN user shall be able to configure any unmanaged service provided to the user.,A CPN user shall not be allowed to configure unmanaged services without administrator approval.,Restriction Conflict
12,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,The system shall not perform validation against predefined range values for temperature inputs.,Operation Conflict
