ID,Original_FR,Conflict,Agent Conflict,Event Conflict,Input Conflict,Operation Conflict,Output Conflict,Restriction Conflict,No conflict
1,"""If the user changes his/her username or password, a notification mail will be sent to the user°Øs email address.""","""If the user does not change his/her username or password, a notification mail will be sent to the user°Øs email address.""",0,1,0,0,0,0,0
2,"""If the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching 'Remove the item' button.""","""If the user still wishes to sell/exchange the item, he/she can remove the item from the system by touching 'Remove the item' button.""",0,1,0,0,0,0,0
3,"""If the user no longer wishes to use the system, he/she can click 'Delete Profile' button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""","""If the user still wishes to use the system, he/she can click 'Delete Profile' button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""",0,1,0,0,0,0,0
4,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,The system shall restrict access to problem list options such that only users holding the specific ORES key are recognized as clinical users with full privileges.,1,0,0,0,0,0,0
5,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,The system must prevent the use of the same CND in two different CPNs declaring the same public identity for non IMS capable CNDs.,0,0,0,0,0,1,0
6,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,"If the operational history report is selected, the THEMAS system shall process only events from the current calendar month, sort the events by date and time, and create the ASCII report file.",0,0,1,0,0,0,0
7,10000 users should be able to use the system at the same time.,"""The system shall limit the number of concurrent users to 5000 to ensure optimal performance.""",0,0,0,0,1,1,0
8,10000 users should be able to use the system at the same time.,"The OPENCOSS platform shall display all active user sessions for a system component in a single, unified green indicator.",0,0,0,0,0,0,1
9,A CEP card may contain currencies that the load acquirer does not support. As a result load devices must use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts for the currency conversion transaction,"If the CEP card contains an unsupported currency, the load device shall use the default currency code and exponent from the terminal configuration to display the source amounts for the currency conversion transaction.",0,0,1,0,0,0,0
10,A class shall be either a non-clinical class or a clinical class.,"If the operational history report is selected, the THEMAS system shall select only the events from the last 30 days from the event database, sort the events by event type, and create the PDF report file.",0,0,1,0,0,0,0
11,A class shall be either a non-clinical class or a clinical class.,A class shall not be re-categorized from a clinical class to a non-clinical class after its initial type assignment.,0,0,0,0,0,0,1
12,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,"If the clinical class details are entered, the system shall use only the course name and lecture instructor to determine all resource requirements from the master course template.",0,0,1,0,0,0,0
13,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,A clinical class shall not specify the clinical site needs or clinical lab instructor needs until the lecture instructor has been formally assigned.,0,0,0,0,1,0,0
14,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,A clinical lab section shall not display the day and time of the lab.,0,0,0,0,1,0,0
15,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,"A clinical lab section shall be generated using only a unique lab identifier code, which the THEMAS system will use to automatically retrieve and populate all associated details from the central curriculum database.",0,0,1,0,0,0,0
16,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND as defined in clause 3 shall not use the CNG to access NGN services until it has passed a security validation.,0,1,0,0,0,0,0
17,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND as defined in clause 3 shall be explicitly prohibited from using the CNG to access NGN services.,1,0,0,0,0,0,0
18,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND as defined in clause 3 may use the CNG to access NGN services only once.,0,0,0,0,0,1,0
19,A cohort shall be associated to one Program of Study offered by the department.,"The cohort shall be associated to the Program of Study within 24 hours after the curriculum review board provides final approval, and this action can only occur once per cohort.",0,1,0,0,0,1,0
20,A cohort shall be associated to one Program of Study offered by the department.,A cohort shall not be associated to a Program of Study until the department's curriculum review board has provided final approval.,0,1,0,0,0,0,0
21,A cohort shall be associated to one Program of Study offered by the department.,A cohort shall be associated to one Program of Study offered by the department only once.,0,0,0,0,0,1,0
