ID,Original_FR,Conflicting_FR,Predicted_Label,Semantic_Tuple_A,Semantic_Tuple_B,Resolution
1,"""if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.""",Users can request exchanges only if the items are unavailable.,Operation Conflict,"{
  ""Event"": ""if the item the user wants is available for exchange"",
  ""Agent"": ""user"",
  ""Operation"": ""request the exchange of items"",
  ""Input"": ""item the user wants, items the user has"",
  ""Output"": ""exchange request"",
  ""Restriction"": ""availability of the desired item for exchange""
}","{
  ""Event"": ""if the items are unavailable"",
  ""Agent"": ""Users"",
  ""Operation"": ""request exchanges"",
  ""Input"": ""items"",
  ""Output"": ""exchange request"",
  ""Restriction"": ""only if the items are unavailable""
}","1. **Modify Requirement B's Event and Restriction**: Change Requirement B's Event to ""if the item the user wants is unavailable for exchange"" and Restriction to ""only if the desired item is unavailable"". This aligns the trigger condition with Requirement A's availability focus and resolves the contradiction by making Requirement B apply when Requirement A's condition is not met.

2. **Clarify Operation in Requirement B**: Update Requirement B's Operation to ""request an exchange for alternative items"" and Input to ""items the user has, unavailable desired item"". This distinguishes the exchange type (alternative items vs. direct exchange) and ensures Requirement B supports a complementary scenario rather than conflicting with Requirement A.

3. **Merge Requirements with Conditional Logic**: Combine both requirements into a single structured requirement where the Event is ""user wants an item"", Operation is ""request exchange"", and Restriction is ""if desired item is available, exchange directly; if unavailable, exchange for alternative items"". This eliminates conflict by explicitly handling both availability states in one coherent rule."
2,"""if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching a??Remove the itema?? button.""","Items shall remain in the system even if the user clicks ""Remove the item"".",Operation Conflict,"```json
{
  ""Event"": ""if the user no longer wishes to sell/exchange the item"",
  ""Agent"": ""user"",
  ""Operation"": ""remove the item from the system"",
  ""Input"": ""item to be removed"",
  ""Output"": ""item is removed from the system"",
  ""Restriction"": ""null""
}
```","{
  ""Event"": ""if the user clicks \""Remove the item\"""",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""remain in the system"",
  ""Input"": ""Items"",
  ""Output"": ""Items remain in the system"",
  ""Restriction"": ""null""
}","1. **Modify Requirement B's Operation and Output**: Change Requirement B's operation from ""remain in the system"" to ""be marked as inactive/archived"" and update the output to ""item status is set to inactive/archived."" This allows Requirement A's removal operation to logically hide or disable the item while Requirement B ensures data persistence.

2. **Clarify Requirement A's Operation**: Refine Requirement A's operation to ""hide/disable the item from user view"" instead of ""remove the item from the system,"" and update the output to ""item is no longer visible/active in listings."" This resolves the conflict by redefining removal as a soft delete, aligning with Requirement B's persistence requirement.

3. **Introduce a Restriction in Requirement A**: Add a restriction to Requirement A: ""Restriction: 'Item data is retained in the system but hidden from public/user interfaces.'"" This explicitly preserves Requirement B's intent while allowing Requirement A's functional behavior for users."
3,"""if the user no longer wishes to use the system, he/she can click a??Delete Profilea?? button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""","The system shall retain user account and allow login even after clicking ""Delete Profile"".",Operation Conflict,"{
  ""Event"": ""if the user no longer wishes to use the system"",
  ""Agent"": ""user"",
  ""Operation"": ""click a 'Delete Profile' button"",
  ""Input"": ""null"",
  ""Output"": ""the user will no longer be able to use the system with the account details that he entered before"",
  ""Restriction"": ""null""
}","{
  ""Event"": ""after clicking \""Delete Profile\"""",
  ""Agent"": ""system"",
  ""Operation"": ""retain user account and allow login"",
  ""Input"": ""user account data"",
  ""Output"": ""preserved account access"",
  ""Restriction"": ""null""
}","1. **Modify Requirement B's Operation and Output**  
   Change the operation from ""retain user account and allow login"" to ""retain anonymized user data for legal/compliance purposes only"" and the output from ""preserved account access"" to ""account permanently deactivated; non-identifiable data retained"". This ensures Requirement A’s deletion intent is honored while allowing limited data retention.

2. **Modify Requirement A's Output**  
   Update the output to ""the user will no longer be able to use the system with the account details, but anonymized activity logs may be retained for system improvements"" and adjust Requirement B’s operation to ""retain anonymized activity logs"". This resolves the conflict by distinguishing between account deletion and data retention.

3. **Introduce Time-Based Restriction in Both Requirements**  
   Add a restriction to Requirement A: ""deletion takes effect after a 30-day grace period"" and modify Requirement B’s event to ""within 30 days after clicking 'Delete Profile'"". This allows temporary account recovery (satisfying B) while ensuring permanent deletion (satisfying A) after the period ends."
4,10000 users should be able to use the system at the same time.,The system shall restrict the number of concurrent users to a maximum of 5000 to maintain response time and data consistency.,Restriction Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""use the system"",
  ""Input"": ""null"",
  ""Output"": ""null"",
  ""Restriction"": ""10000 users at the same time""
}","{
  ""Event"": ""when concurrent users attempt to access the system"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""restrict the number of concurrent users"",
  ""Input"": ""current number of concurrent users"",
  ""Output"": ""access denied for users beyond the limit"",
  ""Restriction"": ""maximum of 5000 concurrent users to maintain response time and data consistency""
}","1. Modify Requirement A's ""Restriction"" element from ""10000 users at the same time"" to ""The system should support up to 5000 concurrent users with performance guarantees, with additional capacity available during peak periods subject to performance degradation warnings""

2. Modify Requirement B's ""Restriction"" element by adding scalability provisions: ""The system shall restrict concurrent users to 5000 under normal operation, but include scalable architecture to support up to 10000 users during peak times with predefined performance thresholds and graceful degradation""

3. Modify both requirements' ""Operation"" elements: Change Requirement A's operation to ""access the system with tiered performance levels"" and Requirement B's operation to ""manage concurrent user access through dynamic load balancing"", then add a new shared restriction: ""Base capacity: 5000 users with guaranteed performance; Extended capacity: up to 10000 users with monitored performance thresholds"""
5,10000 users should be able to use the system at the same time.,The system shall allow administrative concurrent access only once per system startup and revoke all administrative sessions automatically within 5 seconds after they begin.,Agent Conflict，Restriction Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""use"",
  ""Input"": ""null"",
  ""Output"": ""null"",
  ""Restriction"": ""10000 users at the same time""
}","{
  ""Event"": ""system startup"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow administrative concurrent access only once and revoke all administrative sessions automatically"",
  ""Input"": ""null"",
  ""Output"": ""revoked administrative sessions"",
  ""Restriction"": ""within 5 seconds after they begin""
}","1. Modify Requirement A's ""Restriction"" element to explicitly exclude administrative sessions from the concurrency count: ""10000 non-administrative users should be able to use the system simultaneously, while administrative access follows separate concurrency rules.""

2. Modify Requirement B's ""Operation"" element to clarify administrative session handling: ""The system shall allow exactly one administrative concurrent access session per system startup, which must be automatically revoked within 5 seconds of initiation, while maintaining separate user session limits.""

3. Modify both requirements' ""Agent"" elements to distinguish user types: Requirement A should specify ""non-administrative users"" as the agent, while Requirement B should specify ""administrative users"" as the agent, creating clear separation between general user capacity and administrative access protocols."
6,"A CEP card may contain currencies that the load acquirer does not support. As a result, load devices must use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts for the currency conversion transaction.","Load devices shall reject any CEP card containing currencies not supported by the load acquirer, and no source amount shall be displayed.",Operation Conflict,"{
  ""Event"": ""when a CEP card contains currencies that the load acquirer does not support"",
  ""Agent"": ""load devices"",
  ""Operation"": ""use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts"",
  ""Input"": ""alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s)"",
  ""Output"": ""display of the source amounts for the currency conversion transaction"",
  ""Restriction"": ""null""
}","{
  ""Event"": ""when a CEP card is presented"",
  ""Agent"": ""Load devices"",
  ""Operation"": ""reject"",
  ""Input"": ""CEP card containing currencies not supported by the load acquirer"",
  ""Output"": ""null"",
  ""Restriction"": ""no source amount shall be displayed""
}","1. **Modify Requirement B's Event and Operation to align with Requirement A's context**  
   - Change Requirement B's Event from `""when a CEP card is presented""` to `""when a CEP card contains currencies that the load acquirer does not support""` to match Requirement A's trigger condition.  
   - Replace Requirement B's Operation `""reject""` with `""use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts""` to ensure consistency in handling unsupported currencies.

2. **Revise Requirement B's Restriction to allow display under specific conditions**  
   - Update Requirement B's Restriction from `""no source amount shall be displayed""` to `""no source amount shall be displayed unless the currency is supported by the load acquirer""`. This modification permits displaying source amounts when supported, resolving the conflict by introducing a conditional exception.

3. **Merge the Output and Restriction elements into a unified rule**  
   - Combine Requirement A's Output `""display of the source amounts for the currency conversion transaction""` with Requirement B's Restriction into a single structured element: `""display source amounts only if the currency is supported; otherwise, reject the CEP card without displaying any source amount""`. This ensures clarity and eliminates ambiguity in system behavior."
7,A class shall be either a non-clinical class or a clinical class.,A class may contain both clinical and non-clinical components within the same structure.,Restriction Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall be"",
  ""Input"": ""class"",
  ""Output"": ""either a non-clinical class or a clinical class"",
  ""Restriction"": ""null""
}","{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""may contain"",
  ""Input"": ""clinical and non-clinical components"",
  ""Output"": ""a class with both clinical and non-clinical components within the same structure"",
  ""Restriction"": ""within the same structure""
}","1. Modify Requirement A's ""Output"" element to allow hybrid classes by changing it to: ""either a non-clinical class, a clinical class, or a hybrid class containing both clinical and non-clinical components.""

2. Modify Requirement B's ""Operation"" element from permissive (""may contain"") to mandatory alignment by changing it to: ""shall support"" and add a ""Restriction"" element: ""while maintaining clear classification according to Requirement A's categorization scheme.""

3. Create a new unified requirement that replaces both, with structured elements: {""Operation"": ""shall categorize classes as"", ""Input"": ""all classes"", ""Output"": ""primarily clinical, primarily non-clinical, or hybrid classes"", ""Restriction"": ""with hybrid classes maintaining clear separation of clinical and non-clinical components within their structure""}."
8,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND shall not be allowed to access NGN services through the CNG interface for security reasons.,Operation Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""CND"",
  ""Operation"": ""use"",
  ""Input"": ""CNG"",
  ""Output"": ""access NGN services"",
  ""Restriction"": ""as defined in clause 3""
}","{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""not be allowed to access"",
  ""Input"": ""NGN services through the CNG interface"",
  ""Output"": ""null"",
  ""Restriction"": ""for security reasons""
}","1. **Modify Requirement B's Agent and Operation**: Change Requirement B's Agent from ""unspecified agent"" to ""CND"" and its Operation from ""not be allowed to access"" to ""shall be restricted from accessing"" to align with Requirement A's Agent and clarify the restriction. This resolves the conflict by explicitly prohibiting CND's access through CNG for security, overriding Requirement A's permission.

2. **Add Restriction to Requirement A**: Update Requirement A's Restriction from ""as defined in clause 3"" to ""as defined in clause 3, except when security policies in clause X prohibit it"" (where clause X references Requirement B's security rationale). This modifies Requirement A to incorporate the security exception, ensuring consistency without altering Requirement B.

3. **Revise Requirement B's Input for Specificity**: Change Requirement B's Input from ""NGN services through the CNG interface"" to ""specific NGN services (e.g., high-risk ones) through the CNG interface"" to narrow the prohibition. This allows Requirement A to permit access to non-sensitive NGN services while addressing security concerns, partially resolving the conflict by limiting the scope of the restriction."
9,A cohort shall be associated to one Program of Study offered by the department.,A cohort may be associated with multiple Programs of Study across departments.,Restriction Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall be associated"",
  ""Input"": ""cohort, Program of Study offered by the department"",
  ""Output"": ""association between cohort and Program of Study"",
  ""Restriction"": ""one Program of Study per cohort""
}","{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""may be associated"",
  ""Input"": ""cohort, multiple Programs of Study across departments"",
  ""Output"": ""association between cohort and Programs of Study"",
  ""Restriction"": ""null""
}","1. **Modify Requirement A's Restriction element** by changing ""one Program of Study per cohort"" to ""one Program of Study per department"" while keeping the mandatory association. This maintains departmental program focus while allowing cohorts to associate with programs from multiple departments.

2. **Modify Requirement B's Operation element** from ""may be associated"" to ""shall be associated with at least one"" and add Restriction: ""maximum of three Programs of Study across departments."" This creates a bounded mandatory multi-program association while preventing unlimited expansion.

3. **Modify both Requirements' Input elements** by distinguishing between ""primary Program of Study"" (from Requirement A, mandatory single association) and ""secondary Programs of Study"" (from Requirement B, optional multiple associations). Add corresponding Operations: ""shall be associated with one primary Program"" and ""may be associated with multiple secondary Programs."""
10,A cohort shall be associated to one Program of Study offered by the department.,A cohort's Program of Study may be changed only once per calendar year and any change must be applied within a 10-second transaction window; changes attempted outside this window shall be rejected even if performed by DEPARTMENT_ADMIN.,Agent Conflict，Restriction Conflict,"{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall be associated"",
  ""Input"": ""cohort, Program of Study offered by the department"",
  ""Output"": ""association between cohort and Program of Study"",
  ""Restriction"": ""one Program of Study per cohort""
}","{
  ""Event"": ""when a cohort's Program of Study is to be changed"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""change a cohort's Program of Study"",
  ""Input"": ""cohort's Program of Study change request"",
  ""Output"": ""change applied or rejected"",
  ""Restriction"": ""only once per calendar year; must be applied within a 10-second transaction window; changes outside this window are rejected even if performed by DEPARTMENT_ADMIN""
}","1. **Modify Requirement B's ""Restriction"" element** to explicitly reference Requirement A's cardinality constraint by adding: ""while maintaining the one-to-one association between cohort and Program of Study as specified in Requirement A."" This ensures both requirements' constraints are preserved during change operations.

2. **Modify Requirement B's ""Operation"" element** to clarify it's modifying an existing association rather than creating a new one by changing: ""change a cohort's Program of Study"" to ""modify the existing association between cohort and Program of Study."" This aligns with Requirement A's established association and prevents ambiguity about creating multiple associations.

3. **Modify Requirement B's ""Output"" element** to specify failure conditions related to Requirement A by adding: ""rejected if it would violate the one Program of Study per cohort constraint"" to the existing output description. This creates explicit dependency between the requirements' validation logic."
