ID,Original_FR,Conflicting_FR,Predicted_Label,Semantic_Tuple_A,Semantic_Tuple_B,Resolution
1,"""if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.""",Users can request exchanges only if the items are unavailable.,Operation Conflict,"```json
{
  ""Event"": ""if the item the user wants is available for exchange"",
  ""Agent"": ""user"",
  ""Operation"": ""request the exchange"",
  ""Input"": ""items that the user has and the item the user wants"",
  ""Output"": ""exchange request submitted for the desired item"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""if the items are unavailable"",
  ""Agent"": ""Users"",
  ""Operation"": ""request exchanges"",
  ""Input"": ""unavailable items"",
  ""Output"": ""exchange request"",
  ""Restriction"": ""only permitted when items are unavailable""
}
```","1. Modify the **condition** in Requirement B to align with Requirement A by changing ""items are unavailable"" to ""items are available for exchange,"" ensuring both requirements permit exchange requests under the same availability condition.
2. Introduce a unified **constraint** that explicitly defines whether ""available"" or ""unavailable"" is the trigger for exchange requests, replacing the conflicting conditions in both requirements with a single agreed-upon availability rule.
3. Split the **event/condition** across both requirements to assign distinct operations: update Requirement A to handle exchange requests for available items and redefine Requirement B to address a separate operation (e.g., waitlisting or notifications) for unavailable items, eliminating the direct contradiction."
2,"""if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching a??Remove the itema?? button.""","Items shall remain in the system even if the user clicks ""Remove the item"".",Operation Conflict,"```json
{
  ""Event"": ""if the user no longer wishes to sell/exchange the item"",
  ""Agent"": ""user"",
  ""Operation"": ""remove the item from the system"",
  ""Input"": ""touching a 'Remove the item' button"",
  ""Output"": ""item is removed from the system"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""if the user clicks 'Remove the item'"",
  ""Agent"": ""system"",
  ""Operation"": ""retain items"",
  ""Input"": ""user request to remove the item"",
  ""Output"": ""items remain in the system (removal is not executed)"",
  ""Restriction"": ""null""
}
```","1. Modify the **output** of Requirement B to specify that items are soft-deleted (marked as inactive/hidden) rather than fully retained, allowing the system to archive the item while removing it from active listings when the user clicks ""Remove the item.""
2. Add a **constraint** to Requirement A limiting the remove operation to marking the item as unavailable in the user-facing view, while the system retains the record internally for audit or transaction history purposes.
3. Modify the **operation** in Requirement B to ""hide/deactivate the item"" instead of ""retain items,"" so that clicking ""Remove the item"" removes the item from public view but preserves the data in the system backend."
3,"""if the user no longer wishes to use the system, he/she can click a??Delete Profilea?? button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""","The system shall retain user account and allow login even after clicking ""Delete Profile"".",Operation Conflict,"```json
{
  ""Event"": ""if the user no longer wishes to use the system and clicks the 'Delete Profile' button"",
  ""Agent"": ""user"",
  ""Operation"": ""delete profile"",
  ""Input"": ""user's account details (previously entered)"",
  ""Output"": ""profile is deleted and the user is no longer able to use the system with the associated account details"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""when user clicks 'Delete Profile'"",
  ""Agent"": ""the system"",
  ""Operation"": ""retain user account and allow login"",
  ""Input"": ""user account data and 'Delete Profile' action"",
  ""Output"": ""user account is preserved and login remains accessible"",
  ""Restriction"": ""even after 'Delete Profile' is clicked (account deletion action shall not result in actual account removal or loss of login access)""
}
```","1. Modify the **operation** in Requirement B so that clicking ""Delete Profile"" deactivates the account rather than retaining full login access, aligning with Requirement A's intent that the account becomes inaccessible after deletion.
2. Modify the **output** in Requirement A to specify that the profile is soft-deleted (flagged as inactive) while account data is retained internally, satisfying both the user's inability to log in and the system's data retention need in Requirement B.
3. Modify the **restriction** in Requirement B to clarify that account retention applies only for administrative or legal data-preservation purposes and must not permit user login, resolving the direct contradiction with Requirement A's access-denial outcome."
4,10000 users should be able to use the system at the same time.,The system shall restrict the number of concurrent users to a maximum of 5000 to maintain response time and data consistency.,Restriction Conflict,"```json
{
  ""Event"": ""when 10000 users access the system simultaneously"",
  ""Agent"": ""system"",
  ""Operation"": ""support concurrent usage"",
  ""Input"": ""10000 simultaneous user requests"",
  ""Output"": ""uninterrupted service for all concurrent users"",
  ""Restriction"": ""maximum of 10000 users at the same time""
}
```","```json
{
  ""Event"": ""when concurrent users attempt to access the system"",
  ""Agent"": ""the system"",
  ""Operation"": ""restrict the number of concurrent users"",
  ""Input"": ""number of active concurrent user sessions"",
  ""Output"": ""maintained response time and data consistency"",
  ""Restriction"": ""maximum of 5000 concurrent users""
}
```","1. Modify the **constraint** in Requirement B to align with Requirement A by raising the maximum concurrent user limit to 10,000, while introducing performance benchmarks (e.g., response time thresholds) to ensure system stability at that scale.
2. Modify the **restriction** in Requirement A to adopt a tiered concurrency model, where the system supports up to 10,000 users by dynamically allocating resources, with Requirement B's 5,000-user limit applying only under degraded or resource-constrained conditions.
3. Modify the **output** in both requirements to introduce a queuing or load-balancing mechanism that allows up to 10,000 users to be served concurrently while enforcing Requirement B's 5,000-user active-session cap to maintain response time and data consistency."
5,10000 users should be able to use the system at the same time.,The system shall allow administrative concurrent access only once per system startup and revoke all administrative sessions automatically within 5 seconds after they begin.,Agent Conflict，Restriction Conflict,"```json
{
  ""Event"": ""when 10000 users access the system simultaneously"",
  ""Agent"": ""system"",
  ""Operation"": ""support concurrent usage"",
  ""Input"": ""10000 simultaneous user requests"",
  ""Output"": ""uninterrupted service for all concurrent users"",
  ""Restriction"": ""minimum of 10000 users at the same time""
}
```","```json
{
  ""Event"": ""system startup and administrative session initiation"",
  ""Agent"": ""the system"",
  ""Operation"": ""allow administrative concurrent access and revoke all administrative sessions automatically"",
  ""Input"": ""administrative session requests after system startup"",
  ""Output"": ""single concurrent administrative access granted; all administrative sessions revoked"",
  ""Restriction"": ""only one concurrent administrative access allowed per system startup; all administrative sessions must be revoked within 5 seconds after they begin""
}
```","1. Modify the **restriction** of Requirement B to explicitly exclude administrative sessions from the 10,000 concurrent user count, treating administrative access as a separate privileged channel that does not compete with general user concurrency.
2. Modify the **operation** of Requirement B to replace the single-access-per-startup constraint with a time-windowed administrative session policy that permits one active administrative session at a time but allows re-initiation after revocation, aligning with the continuous availability implied by Requirement A.
3. Modify the **output** of Requirement B to specify that automatic revocation of administrative sessions must not interrupt or degrade the uninterrupted service guaranteed to the 10,000 concurrent general users defined in Requirement A."
6,"A CEP card may contain currencies that the load acquirer does not support. As a result, load devices must use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts for the currency conversion transaction.","Load devices shall reject any CEP card containing currencies not supported by the load acquirer, and no source amount shall be displayed.",Operation Conflict,"```json
{
  ""Event"": ""when a CEP card contains currencies that the load acquirer does not support"",
  ""Agent"": ""load devices"",
  ""Operation"": ""use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts"",
  ""Input"": ""alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s)"",
  ""Output"": ""displayed source amounts for the currency conversion transaction"",
  ""Restriction"": ""currency code and exponent must be alphabetic and issuer-supplied, sourced specifically from the CEP slot(s)""
}
```","```json
{
  ""Event"": ""when a CEP card containing currencies not supported by the load acquirer is presented"",
  ""Agent"": ""Load devices"",
  ""Operation"": ""reject and suppress display"",
  ""Input"": ""CEP card containing unsupported currencies"",
  ""Output"": ""card is rejected and no source amount is displayed"",
  ""Restriction"": ""only applies to currencies not supported by the load acquirer""
}
```","1. Modify the **operation** in Requirement A so that load devices display unsupported currency source amounts only as a fallback when the load acquirer explicitly permits partial currency support, otherwise defaulting to the rejection behavior defined in Requirement B.
2. Modify the **condition** in Requirement B to distinguish between cards where *all* currencies are unsupported (triggering rejection and no display) versus cards where only *some* currencies are unsupported (permitting display of supported currency amounts per Requirement A's operation).
3. Modify the **output** in Requirement A to require that displayed source amounts are accompanied by a warning indicator, reconciling the display intent of Requirement A with the protective restriction intent of Requirement B."
7,A class shall be either a non-clinical class or a clinical class.,A class may contain both clinical and non-clinical components within the same structure.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""classify / categorize"",
  ""Input"": ""a class"",
  ""Output"": ""either a non-clinical class or a clinical class"",
  ""Restriction"": ""mutually exclusive classification (either one or the other, not both)""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""a class"",
  ""Operation"": ""contain"",
  ""Input"": ""both clinical and non-clinical components"",
  ""Output"": ""a structure with mixed clinical and non-clinical components"",
  ""Restriction"": ""within the same structure""
}
```","1. Modify the **constraint** in Requirement A to allow a ""mixed"" classification category, so a class may be designated as non-clinical, clinical, or mixed (containing both types of components).
2. Modify the **restriction** in Requirement B to apply only when the class is explicitly designated as a ""mixed"" class, aligning containment of both component types with a valid classification state from Requirement A.
3. Modify the **output** in Requirement A to redefine classification as applying to the class's primary designation rather than its content, permitting a clinically-designated class to still contain non-clinical components without violating mutual exclusivity at the classification level."
8,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND shall not be allowed to access NGN services through the CNG interface for security reasons.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""CND (as defined in clause 3)"",
  ""Operation"": ""use (may use)"",
  ""Input"": ""CNG (Customer Network Gateway)"",
  ""Output"": ""access to NGN services"",
  ""Restriction"": ""CND must be as defined in clause 3""
}
```","```json
{
  ""Event"": ""when a CND attempts to access NGN services through the CNG interface"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""deny/block access"",
  ""Input"": ""CND access request to NGN services via CNG interface"",
  ""Output"": ""access to NGN services through the CNG interface is prohibited for the CND"",
  ""Restriction"": ""for security reasons""
}
```","1. Modify the **condition** in Requirement A to restrict CND access to NGN services via CNG only when the CND has been authenticated and authorized through a defined security mechanism, aligning permissive access with the security constraint in Requirement B.
2. Modify the **restriction** in Requirement B to narrow the prohibition to CNDs that do not meet the security criteria defined in clause 3, rather than applying a blanket denial to all CNDs accessing NGN services through the CNG interface.
3. Modify the **operation** in Requirement A from ""may use"" to ""may use only under approved security conditions"" and update the **output** in Requirement B to specify that access is prohibited solely for CNDs failing to satisfy those approved security conditions."
9,A cohort shall be associated to one Program of Study offered by the department.,A cohort may be associated with multiple Programs of Study across departments.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""associate"",
  ""Input"": ""a cohort"",
  ""Output"": ""association between a cohort and one Program of Study offered by the department"",
  ""Restriction"": ""exactly one Program of Study offered by the department per cohort""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""associate"",
  ""Input"": ""a cohort"",
  ""Output"": ""association between a cohort and multiple Programs of Study across departments"",
  ""Restriction"": ""multiple Programs of Study must span across departments""
}
```","1. Modify the **constraint** in Requirement A to allow a cohort to be associated with one *primary* Program of Study within a department while permitting optional secondary associations with Programs of Study across other departments.
2. Replace the **restriction** in Requirement A with a conditional constraint specifying that a cohort must be associated with exactly one Program of Study when operating within a single department, but may be associated with multiple Programs of Study when spanning across departments.
3. Modify the **output** in Requirement B to require that at least one of the multiple Programs of Study must be the designated home-department program, reconciling the mandatory single-department association in Requirement A with the optional multi-department associations in Requirement B."
10,A cohort shall be associated to one Program of Study offered by the department.,A cohort's Program of Study may be changed only once per calendar year and any change must be applied within a 10-second transaction window; changes attempted outside this window shall be rejected even if performed by DEPARTMENT_ADMIN.,Agent Conflict，Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""associate"",
  ""Input"": ""a cohort"",
  ""Output"": ""association between a cohort and one Program of Study offered by the department"",
  ""Restriction"": ""exactly one Program of Study offered by the department per cohort""
}
```","```json
{
  ""Event"": ""when a change to a cohort's Program of Study is attempted"",
  ""Agent"": ""unspecified agent (including DEPARTMENT_ADMIN)"",
  ""Operation"": ""change the cohort's Program of Study"",
  ""Input"": ""requested Program of Study change, transaction timestamp, calendar year change history"",
  ""Output"": ""approved change applied within the transaction window, or rejection of the change if conditions are not met"",
  ""Restriction"": ""change may occur at most once per calendar year; change must be applied within a 10-second transaction window; changes attempted outside the 10-second window shall be rejected regardless of the agent's role, including DEPARTMENT_ADMIN""
}
```","1. Add a **constraint** to Requirement A specifying that the initial association of a Program of Study to a cohort must also be completed within a 10-second transaction window to align with Requirement B's transactional enforcement model.
2. Add a **condition** to Requirement B clarifying whether the once-per-calendar-year restriction and 10-second transaction window apply to the initial Program of Study association defined in Requirement A or only to subsequent changes.
3. Modify the **restriction** in Requirement A to explicitly state that any reassociation of a cohort to a different Program of Study is governed by the change rules in Requirement B, ensuring both requirements share a unified enforcement scope."
