ID,Original_FR,Conflicting_FR,Predicted_Label,Semantic_Tuple_A,Semantic_Tuple_B,Resolution
1,"""if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.""",Users can request exchanges only if the items are unavailable.,Operation Conflict,,,"1. Clarify the intended meaning of ""unavailable"" in Requirement B—replace it with ""not currently owned by the user"" to align with Requirement A’s intent that exchanges occur only for items the user doesn’t already have.  
2. Revise Requirement B to state: “Users can request exchanges only for items they do not already possess,” ensuring consistency with Requirement A’s condition of exchanging owned items for desired ones.  
3. Merge both requirements into a single, unambiguous statement: “A user may request an exchange of an item they own for a desired item only if the desired item is available for exchange and not already in their possession.”"
2,"""if the user no longer wishes to sell/exchange the item, he/she can remove the item from the system by touching a??Remove the itema?? button.""","Items shall remain in the system even if the user clicks ""Remove the item"".",Operation Conflict,,,"1. Clarify the intended behavior: Determine whether ""removal"" means soft deletion (item hidden from user view but retained in the system for audit or recovery) or hard deletion (permanent removal). Update both requirements to reflect this decision consistently.  
2. Introduce a two-tier removal process: Allow users to ""hide"" or ""deactivate"" items via the ""Remove the item"" button (satisfying Requirement A), while retaining the data in the system per Requirement B, with clear labeling that the item is no longer publicly listed.  
3. Add a retention policy clause: Modify Requirement B to specify that items are retained only for a defined period (e.g., 30 days) after removal, enabling eventual deletion and aligning with user expectations in Requirement A."
3,"""if the user no longer wishes to use the system, he/she can click a??Delete Profilea?? button. After deleting the profile, the user will no longer be able to use the system with the account details that he entered before.""","The system shall retain user account and allow login even after clicking ""Delete Profile"".",Operation Conflict,,,"1. Clarify the intended behavior with stakeholders: Determine whether ""Delete Profile"" should permanently remove account access (Requirement A) or merely deactivate/hide the profile while preserving login capability (Requirement B).  
2. Refactor the functionality into two distinct actions: Offer both “Deactivate Profile” (retains account for future login, per Requirement B) and “Permanently Delete Profile” (irreversibly removes access, per Requirement A).  
3. Update terminology and system behavior consistently: If deletion must be reversible, rename the button to “Deactivate” or “Disable Profile” and adjust Requirement A accordingly to align with Requirement B."
4,10000 users should be able to use the system at the same time.,The system shall restrict the number of concurrent users to a maximum of 5000 to maintain response time and data consistency.,Restriction Conflict,,,"1. Reconcile the requirements by defining different user tiers or service levels—allow up to 10,000 concurrent users with basic functionality while restricting high-intensity operations (e.g., data writes) to a subset of 5,000 users to preserve performance and consistency.  
2. Investigate and document the technical constraints behind Requirement B; if feasible, invest in system scalability (e.g., improved architecture, caching, or database optimization) to safely support 10,000 concurrent users without compromising response time or data consistency.  
3. Clarify stakeholder priorities through negotiation—determine whether supporting 10,000 users (scalability) or guaranteeing performance/consistency at 5,000 users is more critical, and update one requirement accordingly based on business goals."
5,10000 users should be able to use the system at the same time.,The system shall allow administrative concurrent access only once per system startup and revoke all administrative sessions automatically within 5 seconds after they begin.,Agent Conflict，Restriction Conflict,,,"1. Clarify that Requirement B applies only to privileged administrative sessions, while Requirement A refers to general user sessions, and explicitly separate the two user types in the system architecture.  
2. Modify Requirement B to allow a limited number of concurrent administrative sessions (e.g., up to 5) with automatic revocation after 5 seconds, balancing security and operational needs without impacting the 10,000-user capacity.  
3. Implement session prioritization or queuing for administrative access so that only one admin session is active at a time, while ensuring this mechanism does not interfere with the scalability required for 10,000 concurrent regular users."
6,"A CEP card may contain currencies that the load acquirer does not support. As a result, load devices must use the alphabetic issuer-supplied currency code and currency exponent from the CEP slot(s) to display the source amounts for the currency conversion transaction.","Load devices shall reject any CEP card containing currencies not supported by the load acquirer, and no source amount shall be displayed.",Operation Conflict,,,"1. Align both requirements by updating Requirement A to state that load devices must only process and display source amounts for currencies supported by the load acquirer, removing the allowance for unsupported currencies.  
2. Modify Requirement B to permit display of source amounts using issuer-supplied currency codes (per Requirement A) while still rejecting transaction processing for unsupported currencies, thereby separating display logic from transaction approval.  
3. Introduce a system configuration flag that allows the load acquirer to choose between strict rejection (Requirement B) or informational display with rejection (Requirement A), ensuring consistent behavior based on operational policy."
7,A class shall be either a non-clinical class or a clinical class.,A class may contain both clinical and non-clinical components within the same structure.,Restriction Conflict,,,"1. Clarify terminology by defining “class” consistently—either as a logical grouping (allowing mixed components) or as a categorization tag (mutually exclusive types)—and align both requirements to the same definition.  
2. Refine Requirement A to state that a class must be primarily classified as either clinical or non-clinical based on its dominant component type, while allowing minor components of the other type as permitted by Requirement B.  
3. Introduce a hierarchical model where a top-level class is strictly clinical or non-clinical (satisfying Requirement A), but may contain subcomponents or subclasses of the opposite type (accommodating Requirement B)."
8,A CND as defined in clause 3 may use the CNG to access NGN services.,A CND shall not be allowed to access NGN services through the CNG interface for security reasons.,Operation Conflict,,,"1. Clarify the scope of ""CND"" in Requirement A by specifying that only CNDs meeting defined security criteria (e.g., certified or trusted devices) may use the CNG to access NGN services, aligning with Requirement B’s security intent.  
2. Revise Requirement A to exclude access to sensitive NGN services via CNG, permitting only non-sensitive or anonymized services, thereby satisfying the security restriction in Requirement B.  
3. Introduce a conditional clause in both requirements stating that CNG-mediated access is permitted only when additional security controls (e.g., authentication, encryption, or audit logging) are implemented and verified."
9,A cohort shall be associated to one Program of Study offered by the department.,A cohort may be associated with multiple Programs of Study across departments.,Restriction Conflict,,,"1. Clarify the scope of ""Program of Study"" by distinguishing between primary and secondary affiliations, allowing a cohort to have one primary Program of Study (per Requirement A) while optionally linking to additional programs across departments (satisfying Requirement B).  
2. Introduce a hierarchy or categorization of cohorts—e.g., “departmental cohorts” bound to a single program (per Requirement A) and “cross-departmental cohorts” permitted to associate with multiple programs (per Requirement B)—based on institutional use cases.  
3. Revise Requirement A to specify that a cohort must be associated with at least one Program of Study offered by a department, while explicitly permitting additional associations with other programs, thereby harmonizing both requirements."
10,A cohort shall be associated to one Program of Study offered by the department.,A cohort's Program of Study may be changed only once per calendar year and any change must be applied within a 10-second transaction window; changes attempted outside this window shall be rejected even if performed by DEPARTMENT_ADMIN.,Agent Conflict，Restriction Conflict,,,"1. Clarify Requirement A to allow a cohort to be associated with only one Program of Study at any given time, while explicitly permitting changes under the constraints defined in Requirement B.  
2. Modify Requirement B to specify that the once-per-year change restriction applies only after the cohort has been initially assigned, ensuring alignment with Requirement A’s intent of single-program association at any point in time.  
3. Add an exception clause to Requirement B allowing immediate correction of erroneous initial assignments (e.g., within 24 hours of creation) without counting toward the annual change limit, preserving data integrity while maintaining operational flexibility."
